Atlanta 2017 Legends (Holo-Foil)
Boston 2018 Legends (Holo-Foil)
Boston 2018 Minor Challengers (Holo-Foil)
Boston 2018 Minor Challengers with Flash Gaming (Holo-Foil)
Boston 2018 Returning Challengers (Holo-Foil)
DreamHack 2014 Legends (Holo-Foil)
ESL One Katowice 2015 Legends (Holo-Foil)
Krakow 2017 Challengers (Holo-Foil)
Krakow 2017 Legends (Holo-Foil)
MLG Columbus 2016 Challengers (Holo-Foil)
Sticker | AdreN (Foil) | MLG Columbus 2016
Sticker | Hyper (Gold) | Cologne 2015
Sticker | Team eBettle (Gold) | Cologne 2015
Sticker | Cloud9 (Gold) | Krakow 2017
Sticker | Team Liquid (Gold) | Cluj-Napoca 2015
Sticker | Sprout Esports (Gold) | Boston 2018
Sticker | HellRaisers (Gold) | DreamHack 2014
Sticker | 3DMAX (Foil) | Katowice 2014
Sticker | Vox Eminor (Foil) | Katowice 2014
Sticker | Titan (Foil) | Katowice 2014
Sticker | HellRaisers (Foil) | Katowice 2014
Sticker | GeT_RiGhT (Gold) | MLG Columbus 2016
Sticker | Ninjas in Pyjamas (Gold) | MLG Columbus 2016
Sticker | Flipsid3 Tactics (Gold) | DreamHack 2014
Sticker | iBUYPOWER (Foil) | Katowice 2014
Sticker | Team Dignitas (Foil) | Katowice 2014
Sticker | Ninjas in Pyjamas (Foil) | Katowice 2014
Sticker | Blue Snowflake (Foil)
Sticker | Polar Bears (Foil)
Sticker | twist (Gold) | Atlanta 2017
Sticker | RUSH (Gold) | Atlanta 2017
Sticker | cajunb (Gold) | Cluj-Napoca 2015
Sticker | pronax (Gold) | Cluj-Napoca 2015
Sticker | Fnatic (Gold) | Cluj-Napoca 2015
Sticker | kennyS (Gold) | Atlanta 2017
Sticker | olofmeister (Gold) | Atlanta 2017
Sticker | Flipsid3 Tactics (Gold) | MLG Columbus 2016
Sticker | B1ad3 (Gold) | MLG Columbus 2016
Sticker | Team EnVyUs (Gold) | MLG Columbus 2016
Sticker | Gambit Gaming (Gold) | MLG Columbus 2016
Sticker | Dosia (Gold) | MLG Columbus 2016
Sticker | iBUYPOWER (Foil) | Cologne 2014
Sticker | AdreN (Gold) | MLG Columbus 2016
Sticker | olofmeister (Gold) | Cologne 2016
Sticker | aizy (Gold) | MLG Columbus 2016
Sticker | rain (Gold) | MLG Columbus 2016
Sticker | bondik (Gold) | MLG Columbus 2016
Sticker | f0rest (Gold) | MLG Columbus 2016
Sticker | mousesports (Gold) | MLG Columbus 2016
Sticker | ScreaM (Gold) | Cluj-Napoca 2015
Sticker | Cloud9 (Gold) | DreamHack 2014
Sticker | Bravado Gaming (Gold) | DreamHack 2014
Sticker | gla1ve (Gold) | Cologne 2016
Sticker | NiKo (Gold) | Atlanta 2017
Sticker | ESC Gaming (Gold) | DreamHack 2014
Sticker | NBK- (Gold) | Cluj-Napoca 2015
Sticker | device (Gold) | Cologne 2015
Sticker | apEX (Gold) | MLG Columbus 2016
Sticker | wayLander (Gold) | MLG Columbus 2016
Sticker | Avangar (Gold) | Boston 2018
Sticker | ScreaM (Gold) | Atlanta 2017
Sticker | G2 Esports (Gold) | Atlanta 2017
Sticker | Blue Snowflake
Sticker | Shooter (Foil)
Sticker | BIG (Gold) | Krakow 2017
Sticker | byali (Gold) | MLG Columbus 2016
Sticker | mousesports (Gold) | Cologne 2015
Sticker | Flipsid3 Tactics (Gold) | Cologne 2015
Sticker | nex (Gold) | Cologne 2015
Sticker | EliGE (Gold) | Atlanta 2017
Sticker | Flipsid3 Tactics (Gold) | Atlanta 2017
Sticker | karrigan (Gold) | Cologne 2016
Sticker | FalleN (Gold) | Cluj-Napoca 2015
Sticker | Maikelele (Gold) | Cologne 2015
Sticker | allu (Gold) | Atlanta 2017
Sticker | NiKo (Gold) | Cluj-Napoca 2015
Sticker | mousesports (Gold) | Cluj-Napoca 2015
Sticker | Snax (Gold) | Atlanta 2017
Sticker | NEO (Gold) | Atlanta 2017
Sticker | olofmeister (Gold) | MLG Columbus 2016
Sticker | coldzera (Gold) | MLG Columbus 2016
Sticker | GuardiaN (Gold) | MLG Columbus 2016
Sticker | flusha (Gold) | Atlanta 2017
Sticker | Titan (Gold) | Cologne 2015
Sticker | SmithZz (Gold) | Cologne 2015
Sticker | Natus Vincere (Foil) | Katowice 2014
Sticker | SmithZz (Gold) | Cluj-Napoca 2015
Sticker | reltuC (Gold) | Cluj-Napoca 2015
Sticker | Counter Logic Gaming (Gold) | Cluj-Napoca 2015
Sticker | BIG (Gold) | Boston 2018
Sticker | TaZ (Gold) | Atlanta 2017
Sticker | Team Dignitas (Gold) | Cluj-Napoca 2015
Sticker | aizy (Gold) | Cluj-Napoca 2015
Sticker | TACO (Gold) | Cologne 2016
Sticker | G2 Esports (Gold) | Cologne 2016
Sticker | tenzki (Gold) | Cluj-Napoca 2015
Sticker | Counter Logic Gaming (Gold) | MLG Columbus 2016
Sticker | reltuC (Gold) | MLG Columbus 2016
Sticker | MSL (Gold) | Atlanta 2017
Sticker | nitr0 (Gold) | Cologne 2016
Sticker | jdm64 (Gold) | MLG Columbus 2016
Sticker | Snax (Gold) | MLG Columbus 2016
Sticker | GuardiaN (Gold) | Cologne 2016
Sticker | Natus Vincere (Gold) | Cologne 2016
Sticker | Happy (Gold) | Cluj-Napoca 2015
Sticker | Flipsid3 Tactics (Gold) | Boston 2018
Sticker | Team Dignitas (Foil) | Cologne 2014
Sticker | FalleN (Gold) | Atlanta 2017
Sticker | gob b (Gold) | Cluj-Napoca 2015
Sticker | pashaBiceps (Gold) | MLG Columbus 2016
Sticker | mousesports (Gold) | Krakow 2017
Sticker | chrisJ (Gold) | Cologne 2015
Sticker | Zeus (Gold) | Cluj-Napoca 2015
Sticker | apEX (Gold) | Atlanta 2017
Sticker | ScreaM (Gold) | Cologne 2016
Sticker | k0nfig (Gold) | Cologne 2016
Sticker | jdm64 (Gold) | Cologne 2016
Sticker | pronax (Gold) | Cologne 2015
Sticker | GruBy (Gold) | Cluj-Napoca 2015
Sticker | Vexed Gaming (Gold) | Cluj-Napoca 2015
Sticker | flamie (Gold) | Atlanta 2017
Sticker | jkaem (Gold) | MLG Columbus 2016
Sticker | seized (Gold) | Cologne 2015
Sticker | byali (Gold) | Atlanta 2017
Sticker | B1ad3 (Gold) | Atlanta 2017
Sticker | aizy (Gold) | Atlanta 2017
Sticker | TACO (Gold) | MLG Columbus 2016
Sticker | GuardiaN (Gold) | Cologne 2015
Sticker | RpK (Gold) | Cologne 2015
Sticker | markeloff (Gold) | Cluj-Napoca 2015
Sticker | karrigan (Gold) | MLG Columbus 2016
Sticker | flamie (Gold) | Cologne 2015
Sticker | TaZ (Gold) | MLG Columbus 2016
Sticker | coldzera (Gold) | Cologne 2015
Sticker | Zeus (Gold) | Cologne 2015
Sticker | dennis (Gold) | Cluj-Napoca 2015
Sticker | Team EnVyUs (Gold) | Cologne 2016
Sticker | kennyS (Gold) | Cologne 2016
Sticker | Vega Squadron (Gold) | Krakow 2017
Sticker | stanislaw (Gold) | Atlanta 2017
Sticker | PENTA Sports (Gold) | Krakow 2017
Sticker | TACO (Gold) | Atlanta 2017
Sticker | G2 Esports (Gold) | MLG Columbus 2016
Sticker | WorldEdit (Gold) | Cologne 2016
Sticker | shox (Gold) | Atlanta 2017
Sticker | shox (Gold) | Cologne 2016
Sticker | Snax (Gold) | Cologne 2015
Sticker | iBUYPOWER (Gold) | DreamHack 2014
Sticker | jdm64 (Gold) | Cluj-Napoca 2015
Sticker | coldzera (Gold) | Cologne 2016
Sticker | Edward (Gold) | Cologne 2015
Sticker | Titan (Gold) | Katowice 2015
Sticker | shox (Gold) | Cluj-Napoca 2015
Sticker | hazed (Gold) | Cluj-Napoca 2015
Sticker | NiKo (Gold) | Cologne 2016
Sticker | James (Gold) | Cologne 2015
Sticker | pashaBiceps (Gold) | Cologne 2016
Sticker | B1ad3 (Gold) | Cologne 2015
Sticker | Xizt (Gold) | MLG Columbus 2016
Sticker | Cloud9 (Foil) | Cologne 2014
Sticker | MSL (Gold) | Cologne 2016
Sticker | seized (Gold) | Cologne 2016
Sticker | NAF (Gold) | Atlanta 2017
Sticker | pashaBiceps (Gold) | Cluj-Napoca 2015
Sticker | jkaem (Gold) | Cluj-Napoca 2015
Sticker | Clan-Mystik (Foil) | Katowice 2014
Sticker | Spiidi (Gold) | Cologne 2016
Sticker | Snax (Gold) | Cluj-Napoca 2015
Sticker | mousesports (Foil) | Katowice 2014
Sticker | JW (Gold) | Cologne 2016
Sticker | NBK- (Gold) | Atlanta 2017
Sticker | Hiko (Gold) | MLG Columbus 2016
Sticker | mou (Gold) | MLG Columbus 2016
Sticker | Magisk (Gold) | Atlanta 2017
Sticker | apEX (Gold) | Cluj-Napoca 2015
Sticker | bondik (Gold) | Atlanta 2017
Sticker | cajunb (Gold) | Cologne 2016
Sticker | Mountain
Sticker | peet (Gold) | Cologne 2015
Sticker | Counter Logic Gaming (Gold) | Katowice 2015
Sticker | Natus Vincere (Gold) | DreamHack 2014
Sticker | Flipsid3 Tactics (Gold) | Katowice 2015
Sticker | KRIMZ (Gold) | Cologne 2016
Sticker | FalleN (Gold) | Cologne 2015
Sticker | Hiko (Gold) | Cologne 2016
Sticker | Zeus (Gold) | Cologne 2016
Sticker | Splyce (Gold) | MLG Columbus 2016
Sticker | RUSH (Gold) | Cologne 2016
Sticker | hooch (Gold) | MLG Columbus 2016
Sticker | disco doplan (Gold) | Atlanta 2017
Sticker | device (Gold) | Cologne 2016
Sticker | karrigan (Gold) | Cologne 2015
Sticker | fox (Gold) | Cluj-Napoca 2015
Sticker | Titan (Foil) | Cologne 2014
Sticker | steel (Gold) | Cluj-Napoca 2015
Sticker | Hobbit (Gold) | Atlanta 2017
Sticker | Copenhagen Wolves (Foil) | Cologne 2014
Sticker | Copenhagen Wolves (Gold) | DreamHack 2014
Sticker | Epsilon eSports (Foil) | Cologne 2014
Sticker | byali (Gold) | Cologne 2015
Sticker | B1ad3 (Gold) | Cologne 2016
Sticker | STYKO (Gold) | Atlanta 2017
Sticker | friberg (Gold) | MLG Columbus 2016
Sticker | Planetkey Dynamics (Gold) | DreamHack 2014
Sticker | Polar Bears
Sticker | cajunb (Gold) | Cologne 2015
Sticker | Hiko (Gold) | Atlanta 2017
Sticker | rain (Gold) | Cologne 2016
Sticker | EliGE (Gold) | MLG Columbus 2016
Sticker | nitr0 (Gold) | Atlanta 2017
Sticker | markeloff (Gold) | Cologne 2016
Sticker | karrigan (Gold) | Atlanta 2017
Sticker | RUBINO (Gold) | Atlanta 2017
Sticker | apEX (Gold) | Cologne 2015
Sticker | Renegades (Gold) | Cologne 2015
Sticker | shox (Gold) | Cologne 2015
Sticker | Zeus (Gold) | MLG Columbus 2016
Sticker | denis (Gold) | Cluj-Napoca 2015
Sticker | fnx (Gold) | Cologne 2016
Sticker | dennis (Gold) | MLG Columbus 2016
Sticker | FalleN (Gold) | Cologne 2016
Sticker | k0nfig (Gold) | Atlanta 2017
Sticker | ANGE1 (Gold) | Atlanta 2017
Sticker | DeadFox (Gold) | Atlanta 2017
Sticker | NBK- (Gold) | Cologne 2015
Sticker | rallen (Gold) | Cologne 2015
Sticker | cajunb (Gold) | Atlanta 2017
Sticker | fer (Gold) | Cologne 2015
Sticker | dupreeh (Gold) | Cologne 2015
Sticker | chrisJ (Gold) | MLG Columbus 2016
Sticker | dupreeh (Gold) | Atlanta 2017
Sticker | fox (Gold) | Cologne 2015
Sticker | dAT team (Foil) | Cologne 2014
Sticker | boltz (Gold) | Cologne 2015
Sticker | byali (Gold) | Cologne 2016
Sticker | dupreeh (Gold) | MLG Columbus 2016
Sticker | SmithZz (Gold) | Atlanta 2017
Sticker | Snax (Gold) | Cologne 2016
Sticker | device (Gold) | Cluj-Napoca 2015
Sticker | kioShiMa (Gold) | Cologne 2016
Sticker | SIXER (Gold) | Atlanta 2017
Sticker | allu (Gold) | Cluj-Napoca 2015
Sticker | znajder (Gold) | Atlanta 2017
Sticker | NEO (Gold) | MLG Columbus 2016
Sticker | markeloff (Gold) | MLG Columbus 2016
Sticker | kioShiMa (Gold) | Cluj-Napoca 2015
Sticker | loWel (Gold) | Atlanta 2017
Sticker | jdm64 (Gold) | Atlanta 2017
Sticker | adreN (Gold) | MLG Columbus 2016
Sticker | pronax (Gold) | Atlanta 2017
Sticker | Maniac (Gold) | Cologne 2015
Sticker | tarik (Gold) | MLG Columbus 2016
Sticker | TaZ (Gold) | Cluj-Napoca 2015
Sticker | flusha (Gold) | MLG Columbus 2016
Sticker | shox (Gold) | MLG Columbus 2016
Sticker | Cloud9 (Gold) | MLG Columbus 2016
Sticker | coldzera (Gold) | Cluj-Napoca 2015
Sticker | bodyy (Gold) | Atlanta 2017
Sticker | kennyS (Gold) | MLG Columbus 2016
Sticker | 3DMAX (Gold) | Katowice 2015
Sticker | HellRaisers (Gold) | Katowice 2015
Sticker | Happy (Gold) | Atlanta 2017
Sticker | shroud (Gold) | MLG Columbus 2016
Sticker | seized (Gold) | MLG Columbus 2016
Sticker | allu (Gold) | Cologne 2015
Sticker | London Conspiracy (Gold) | DreamHack 2014
Sticker | myXMG (Gold) | DreamHack 2014
Sticker | f0rest (Gold) | Cologne 2015
Sticker | chrisJ (Gold) | Cluj-Napoca 2015
Sticker | ScreaM (Gold) | MLG Columbus 2016
Sticker | Maikelele (Gold) | Cluj-Napoca 2015
Sticker | NBK- (Gold) | Cologne 2016
Sticker | fox (Gold) | Atlanta 2017
Sticker | mou (Gold) | Atlanta 2017
Sticker | DEVIL (Gold) | Cologne 2016
Sticker | DAVEY (Gold) | MLG Columbus 2016
Sticker | Shara (Gold) | Cologne 2016
Sticker | tarik (Gold) | Atlanta 2017
Sticker | NEO (Gold) | Cluj-Napoca 2015
Sticker | TaZ (Gold) | Cologne 2015
Sticker | FNS (Gold) | Cluj-Napoca 2015
Sticker | Hiko (Gold) | Cluj-Napoca 2015
Sticker | freakazoid (Gold) | Cologne 2015
Sticker | olofmeister (Gold) | Cluj-Napoca 2015
Sticker | chrisJ (Gold) | Atlanta 2017
Sticker | Spiidi (Gold) | MLG Columbus 2016
Sticker | Lekr0 (Gold) | Atlanta 2017
Sticker | Vox Eminor (Foil) | Cologne 2014
Sticker | Edward (Gold) | MLG Columbus 2016
Sticker | mou (Gold) | Cologne 2016
Sticker | arya (Gold) | MLG Columbus 2016
Sticker | Vox Eminor (Gold) | Katowice 2015
Sticker | RUBINO (Gold) | Cologne 2016
Sticker | denis (Gold) | Cologne 2015
Sticker | TENZKI (Gold) | Cologne 2016
Sticker | Edward (Gold) | Cluj-Napoca 2015
Sticker | KRIMZ (Gold) | Cluj-Napoca 2015
Sticker | shroud (Gold) | Cluj-Napoca 2015
Sticker | GruBy (Gold) | Cologne 2015
Sticker | reltuC (Gold) | Cologne 2015
Sticker | tarik (Gold) | Cluj-Napoca 2015
Sticker | flamie (Gold) | MLG Columbus 2016
Sticker | spaze (Gold) | Cologne 2016
Sticker | HellRaisers (Foil) | Cologne 2014
Sticker | byali (Gold) | Cluj-Napoca 2015
Sticker | Mountain (Foil)
Sticker | Zeus (Gold) | Atlanta 2017
Sticker | WorldEdit (Gold) | MLG Columbus 2016
Sticker | mixwell (Gold) | Atlanta 2017
Sticker | Skadoodle (Gold) | MLG Columbus 2016
Sticker | koosta (Gold) | Cologne 2016
Sticker | Xyp9x (Gold) | Cluj-Napoca 2015
Sticker | Maikelele (Gold) | MLG Columbus 2016
Sticker | flusha (Gold) | Cologne 2016
Sticker | RpK (Gold) | Cluj-Napoca 2015
Sticker | Frosty the Hitman
Sticker | nitr0 (Gold) | MLG Columbus 2016
Sticker | denis (Gold) | Atlanta 2017
Sticker | GeT_RiGhT (Gold) | Cologne 2015
Sticker | Happy (Gold) | MLG Columbus 2016
Sticker | Xyp9x (Gold) | MLG Columbus 2016
Sticker | Ex6TenZ (Gold) | MLG Columbus 2016
Sticker | nex (Gold) | Cluj-Napoca 2015
Sticker | Rickeh (Gold) | Cologne 2015
Sticker | Reason Gaming (Foil) | Katowice 2014
Sticker | n0thing (Gold) | Cluj-Napoca 2015
Sticker | hazed (Gold) | Cologne 2016
Sticker | fnx (Gold) | MLG Columbus 2016
Sticker | fox (Gold) | Cologne 2016
Sticker | flamie (Gold) | Cologne 2016
Sticker | TaZ (Gold) | Cologne 2016
Sticker | Hyper (Gold) | Cluj-Napoca 2015
Sticker | FugLy (Gold) | MLG Columbus 2016
Sticker | WorldEdit (Gold) | Atlanta 2017
Sticker | 3DMAX (Gold) | DreamHack 2014
Sticker | denis (Gold) | Cologne 2016
Sticker | boltz (Gold) | Cluj-Napoca 2015
Sticker | friberg (Gold) | Cologne 2015
Sticker | Edward (Gold) | Atlanta 2017
Sticker | n0thing (Gold) | MLG Columbus 2016
Sticker | Spiidi (Gold) | Atlanta 2017
Sticker | bondik (Gold) | Cologne 2015
Sticker | dupreeh (Gold) | Cluj-Napoca 2015
Sticker | denis (Gold) | MLG Columbus 2016
Sticker | nitr0 (Gold) | Cluj-Napoca 2015
Sticker | Edward (Gold) | Cologne 2016
Sticker | electronic (Gold) | Atlanta 2017
Sticker | hazed (Gold) | MLG Columbus 2016
Sticker | jdm64 (Gold) | Cologne 2015
Sticker | shroud (Gold) | Cologne 2015
Sticker | EliGE (Gold) | Cluj-Napoca 2015
Sticker | KRIMZ (Gold) | MLG Columbus 2016
Sticker | adreN (Gold) | Cluj-Napoca 2015
Sticker | hazed (Gold) | Cologne 2015
Sticker | chrisJ (Gold) | Cologne 2016
Sticker | nex (Gold) | MLG Columbus 2016
Sticker | FNS (Gold) | Cologne 2015
Sticker | markeloff (Gold) | Cologne 2015
Sticker | SmithZz (Gold) | Cologne 2016
Sticker | NBK- (Gold) | MLG Columbus 2016
Sticker | fox (Gold) | MLG Columbus 2016
Sticker | jkaem (Gold) | Cologne 2016
Sticker | flusha (Gold) | Cluj-Napoca 2015
Sticker | RpK (Gold) | Atlanta 2017
Sticker | pyth (Gold) | Cologne 2016
Sticker | NAF (Gold) | Cologne 2016
Sticker | Xizt (Gold) | Cologne 2016
Sticker | freakazoid (Gold) | Cluj-Napoca 2015
Sticker | apEX (Gold) | Cologne 2016
Sticker | WorldEdit (Gold) | Cologne 2015
Sticker | Shara (Gold) | MLG Columbus 2016
Sticker | Ex6TenZ (Gold) | Cluj-Napoca 2015
Sticker | dupreeh (Gold) | Cologne 2016
Sticker | AZR (Gold) | Cologne 2015
Sticker | Skadoodle (Gold) | Cluj-Napoca 2015
Sticker | USTILO (Gold) | Cologne 2015
Sticker | JW (Gold) | Cluj-Napoca 2015
Sticker | Shooter Close (Foil)
Sticker | aizy (Gold) | Cologne 2016
Sticker | RpK (Gold) | MLG Columbus 2016
Sticker | gob b (Gold) | Cologne 2015
Sticker | friberg (Gold) | Cologne 2016
Sticker | peet (Gold) | Cluj-Napoca 2015
Sticker | markeloff (Gold) | Atlanta 2017
Sticker | GeT_RiGhT (Gold) | Cologne 2016
Sticker | karrigan (Gold) | Cluj-Napoca 2015
Sticker | RpK (Gold) | Cologne 2016
Sticker | MSL (Gold) | Cluj-Napoca 2015
Sticker | Zero (Gold) | Atlanta 2017
Sticker | seang@res (Gold) | Cologne 2015
Sticker | Kjaerbye (Gold) | Cluj-Napoca 2015
Sticker | yam (Gold) | Cologne 2015
Sticker | Natus Vincere (Gold) | London 2018
Sticker | MIBR (Gold) | London 2018
Sticker | Furlan (Gold) | Cluj-Napoca 2015
Sticker | wayLander (Gold) | Atlanta 2017
Sticker | Ex6TenZ (Gold) | Cologne 2015
Sticker | stanislaw (Gold) | Cologne 2016
Sticker | DavCost (Gold) | Cologne 2015
Sticker | pita (Gold) | Cologne 2016
Sticker | DavCost (Gold) | Cluj-Napoca 2015
Sticker | jks (Gold) | Cologne 2015
Sticker | Havoc (Gold) | Cologne 2015
Sticker | FugLy (Gold) | Cluj-Napoca 2015
Sticker | Spiidi (Gold) | Cologne 2015
Sticker | Team Dignitas (Gold) | DreamHack 2014
Sticker | Frosty the Hitman (Foil)
Sticker | Blacksite (Foil)
Sticker | Team Liquid (Gold) | London 2018
Sticker | Astralis (Gold) | London 2018
Sticker | FACEIT (Gold) | London 2018
Sticker | OpTic Gaming (Gold) | London 2018
Sticker | Tyloo (Gold) | London 2018
Sticker | HellRaisers (Gold) | London 2018
Sticker | Ninjas in Pyjamas (Gold) | London 2018
Sticker | compLexity Gaming (Gold) | London 2018
Sticker | G2 Esports (Gold) | London 2018
Sticker | Fnatic (Gold) | London 2018
Sticker | mousesports (Gold) | London 2018
Sticker | Pimp (Gold) | Cluj-Napoca 2015
Sticker | Rogue (Gold) | London 2018
Sticker | North (Gold) | London 2018
Sticker | Renegades (Gold) | London 2018
Sticker | Space Soldiers (Gold) | London 2018
Sticker | mixwell (Gold) | Cologne 2016
Sticker | Winstrike Team (Gold) | London 2018
Sticker | BIG (Gold) | London 2018
Sticker | Vega Squadron (Gold) | London 2018
Sticker | Gambit Esports (Gold) | London 2018
Sticker | rallen (Gold) | Cluj-Napoca 2015
Sticker | Virtus.Pro (Gold) | London 2018
Sticker | Happy (Gold) | Cologne 2016
Sticker | MTS GameGod Wolf (Foil) | Cologne 2014
Sticker | SPUNJ (Gold) | Cologne 2015
Sticker | SmithZz (Gold) | MLG Columbus 2016
Sticker | bodyy (Gold) | Cologne 2016
Sticker | seang@res (Gold) | Cluj-Napoca 2015
Sticker | WorldEdit (Gold) | Cluj-Napoca 2015
Sticker | emagine (Gold) | Cologne 2015
Sticker | steel (Gold) | Cologne 2015
Sticker | freakazoid (Gold) | MLG Columbus 2016
Sticker | Dosia (Gold) | Cologne 2016
Sticker | DEVIL (Gold) | MLG Columbus 2016
Sticker | jasonR (Gold) | MLG Columbus 2016
Sticker | Tyloo (Gold) | Katowice 2019
Sticker | Cloud9 (Gold) | Katowice 2019
Sticker | IEM (Gold) | Katowice 2019
Sticker | Renegades (Gold) | Katowice 2019
Sticker | Astralis (Gold) | Katowice 2019
Sticker | G2 Esports (Gold) | Katowice 2019
Sticker | Natus Vincere (Gold) | Katowice 2019
Sticker | Avangar (Gold) | Katowice 2019
Sticker | Team Liquid (Gold) | Katowice 2019
Sticker | FaZe Clan (Gold) | Katowice 2019
Sticker | Vitality (Gold) | Katowice 2019
Sticker | ViCi Gaming (Gold) | Katowice 2019
Sticker | Ninjas in Pyjamas (Gold) | Katowice 2019
Sticker | MIBR (Gold) | Katowice 2019
Sticker | compLexity Gaming (Gold) | Katowice 2019
Sticker | Fnatic (Gold) | Katowice 2019
Sticker | FURIA (Gold) | Katowice 2019
Sticker | NRG (Gold) | Katowice 2019
Sticker | HellRaisers (Gold) | Katowice 2019
Sticker | Grayhound Gaming (Gold) | Katowice 2019
Sticker | Winstrike Team (Gold) | Katowice 2019
Sticker | ENCE (Gold) | Katowice 2019
Sticker | Team Spirit (Gold) | Katowice 2019
Sticker | Vega Squadron (Gold) | Katowice 2019
Sticker | BIG (Gold) | Katowice 2019
Sticker | tarik (Gold) | Cologne 2016
Sticker | hooch (Gold) | Cologne 2016
Sticker | daps (Gold) | Cologne 2016
Sticker | London Conspiracy (Foil) | Cologne 2014
Sticker | SnypeR (Gold) | Cologne 2015
Sticker | bondik (Gold) | Cluj-Napoca 2015
Sticker | Team Spirit (Gold) | London 2018
Sticker | Syman Gaming (Gold) | Berlin 2019
Sticker | StarLadder (Gold) | Berlin 2019
Sticker | Vitality (Gold) | Berlin 2019
Sticker | DreamEaters (Gold) | Berlin 2019
Sticker | NRG (Gold) | Berlin 2019
Sticker | G2 Esports (Gold) | Berlin 2019
Sticker | Tyloo (Gold) | Berlin 2019
Sticker | INTZ E-SPORTS CLUB (Gold) | Berlin 2019
Sticker | North (Gold) | Berlin 2019
Sticker | FURIA (Gold) | Berlin 2019
Sticker | HellRaisers (Gold) | Berlin 2019
Sticker | forZe eSports (Gold) | Berlin 2019
Sticker | mousesports (Gold) | Berlin 2019
Sticker | compLexity Gaming (Gold) | Berlin 2019
Sticker | Avangar (Gold) | Berlin 2019
Sticker | CR4ZY (Gold) | Berlin 2019
Sticker | Grayhound Gaming (Gold) | Berlin 2019
Sticker | ENCE (Gold) | Berlin 2019
Sticker | Astralis (Gold) | Berlin 2019
Sticker | Renegades (Gold) | Berlin 2019
Sticker | Team Liquid (Gold) | Berlin 2019
Sticker | FaZe Clan (Gold) | Berlin 2019
Sticker | Natus Vincere (Gold) | Berlin 2019
Sticker | MIBR (Gold) | Berlin 2019
Sticker | Ninjas in Pyjamas (Gold) | Berlin 2019
Sticker | Professor_Chaos (Gold) | MLG Columbus 2016
Sticker | Gold ESL Skull (Foil) | Katowice 2014
Sticker | Gold ESL Wolf (Foil) | Katowice 2014
Sticker | ESL One Cologne 2014 (Gold)
Sticker | compLexity Gaming (Foil) | Katowice 2014
Sticker | MLG (Gold) | MLG Columbus 2016
Sticker | DreamHack (Gold) | Cluj-Napoca 2015
Sticker | ESL (Gold) | Cologne 2016
Sticker | ESL One (Gold) | Katowice 2015
Sticker | ESL (Gold) | Cologne 2015
Sticker | Nuke (Gold)
Sticker | Inferno (Gold)
Sticker | Overpass (Gold)
Sticker | Vertigo (Gold)
Sticker | Mirage (Gold)
Sticker | Ancient (Gold)
Sticker | Dust II (Gold)
Sticker | Anubis (Gold)
Sticker | Train (Gold)
